"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"LHX2_HUMAN.H11MO.0.A","LHX2_HUMAN.H11MO.0.A",594,3627,13.3934611048478,11.1240607268824,1.20400826943359,2.42014272920897e-07,"LHX2",2.2056300782109e-06
"ZIM3_HUMAN.H11MO.0.C","ZIM3_HUMAN.H11MO.0.C",1409,9327,31.7700112739572,28.6060420180954,1.11060492933137,3.58673523421175e-07,"ZIM3",3.19290458294774e-06
"SOX5_HUMAN.H11MO.0.C","SOX5_HUMAN.H11MO.0.C",618,3801,13.934611048478,11.6577212084036,1.19531174226684,3.66268356148619e-07,"SOX5",3.19290458294774e-06
"ANDR_HUMAN.H11MO.0.A","ANDR_HUMAN.H11MO.0.A",1624,10879,36.6178128523112,33.3660481521239,1.09745729207611,4.94176856026443e-07,"ANDR",4.21627487801284e-06
"IRF1_HUMAN.H11MO.0.A","IRF1_HUMAN.H11MO.0.A",2417,16668,54.4983089064262,51.1209937126208,1.06606513192586,6.89550517313579e-07,"IRF1",5.76061994672386e-06
"NFAC1_HUMAN.H11MO.0.B","NFAC1_HUMAN.H11MO.0.B",2180,14944,49.1544532130778,45.8334611255942,1.07245780715498,9.99489460680119e-07,"NFAC1",8.05639532471894e-06
"EVI1_HUMAN.H11MO.0.B","EVI1_HUMAN.H11MO.0.B",750,4735,16.9109357384442,14.5223125287533,1.16447953485105,1.00453807041383e-06,"EVI1",8.05639532471894e-06
"IRF2_HUMAN.H11MO.0.A","IRF2_HUMAN.H11MO.0.A",2207,15145,49.7632468996618,46.4499309921791,1.07133091129975,1.07375930933526e-06,"IRF2",8.44269574594978e-06
"SMCA1_HUMAN.H11MO.0.C","SMCA1_HUMAN.H11MO.0.C",1257,8306,28.3427282976325,25.4746204569851,1.11258687231436,1.62865066237101e-06,"SMCA1",1.25594022232841e-05
"PRRX2_HUMAN.H11MO.0.C","PRRX2_HUMAN.H11MO.0.C",470,2865,10.597519729425,8.78699585953075,1.20604583168553,4.28387108484032e-06,"PRRX2",3.24119302834145e-05
"NFAC4_HUMAN.H11MO.0.C","NFAC4_HUMAN.H11MO.0.C",1200,7946,27.0574971815107,24.3704953228033,1.11025634986554,4.85309901389297e-06,"NFAC4",3.60387537883534e-05
"DUX4_HUMAN.H11MO.0.A","DUX4_HUMAN.H11MO.0.A",575,3587,12.9650507328072,11.0013801564177,1.17849311163418,5.80603722763393e-06,"DUX4",4.23312896051129e-05
"GATA4_HUMAN.H11MO.0.A","GATA4_HUMAN.H11MO.0.A",613,3855,13.8218714768884,11.8233399785309,1.1690327354188,7.4423055191243e-06,"GATA4",5.32922234494436e-05
"HXA10_HUMAN.H11MO.0.C","HXA10_HUMAN.H11MO.0.C",571,3570,12.8748590755355,10.9492409139703,1.17586773153455,8.18110974636872e-06,"HXA10",5.75548247069098e-05
"IRF4_HUMAN.H11MO.0.A","IRF4_HUMAN.H11MO.0.A",1910,13075,43.0665163472379,40.1012114706333,1.07394551854814,8.3257012080918e-06,"IRF4",5.75621755938761e-05
"TBP_HUMAN.H11MO.0.A","TBP_HUMAN.H11MO.0.A",625,3947,14.0924464487035,12.1055052905996,1.16413533432981,1.0037405538994e-05,"TBP",6.82203325616369e-05
"SOX2_HUMAN.H11MO.0.A","SOX2_HUMAN.H11MO.0.A",1516,10246,34.1826381059752,31.4246281245208,1.08776587492223,1.25334624028812e-05,"SOX2",8.37653070592557e-05
