"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"NFYC_HUMAN.H11MO.0.A","NFYC_HUMAN.H11MO.0.A",734,5224,16.5501691093574,16.0220825026836,1.03295992306776,0.156389884569264,"NFYC",0.426614583076701
"SRF_HUMAN.H11MO.0.A","SRF_HUMAN.H11MO.0.A",588,4180,13.2581736189402,12.8201196135562,1.03416926039605,0.18000182510766,"SRF",0.487707647757916
"TF65_HUMAN.H11MO.0.A","TF65_HUMAN.H11MO.0.A",879,6318,19.8196166854566,19.3773961048919,1.02282146570008,0.217005322158648,"TF65",0.58337717741779
"NF2L1_HUMAN.H11MO.0.C","NF2L1_HUMAN.H11MO.0.C",460,3272,10.3720405862458,10.0352706640086,1.03355862871193,0.2182208893084,"NF2L1",0.58337717741779
"CUX1_HUMAN.H11MO.0.C","CUX1_HUMAN.H11MO.0.C",149,1033,3.35963923337091,3.16822573224965,1.0604166234662,0.229145940467518,"CUX1",0.608526636605794
"GFI1B_HUMAN.H11MO.0.A","GFI1B_HUMAN.H11MO.0.A",825,5946,18.6020293122886,18.2364667995706,1.02004568739854,0.2548890648791,"GFI1B",0.672437598792888
"ZNF8_HUMAN.H11MO.0.C","ZNF8_HUMAN.H11MO.0.C",357,2547,8.04960541149944,7.81168532433676,1.03045694716113,0.271262069281423,"ZNF8",0.710954835175495
"HSF2_HUMAN.H11MO.0.A","HSF2_HUMAN.H11MO.0.A",575,4138,12.9650507328072,12.6913050145683,1.02156954843688,0.285047365649803,"HSF2",0.74223372484137
"NFYB_HUMAN.H11MO.0.A","NFYB_HUMAN.H11MO.0.A",702,5066,15.8286358511838,15.5374942493483,1.01873800222631,0.289075676949405,"NFYB",0.743169453311129
"NKX32_HUMAN.H11MO.0.C","NKX32_HUMAN.H11MO.0.C",500,3594,11.2739571589628,11.022849256249,1.02278067102944,0.290447508224979,"NKX32",0.743169453311129
"BCL6_HUMAN.H11MO.0.A","BCL6_HUMAN.H11MO.0.A",1091,7910,24.5997745208568,24.2600828093851,1.01400208375795,0.290966593939769,"BCL6",0.743169453311129
"ZN490_HUMAN.H11MO.0.C","ZN490_HUMAN.H11MO.0.C",808,5842,18.2187147688839,17.9174973163625,1.01681135747939,0.293223923932345,"ZN490",0.744194895549813
"STA5B_HUMAN.H11MO.0.A","STA5B_HUMAN.H11MO.0.A",1015,7357,22.8861330326945,22.5640239227112,1.01427533985456,0.296458899690904,"STA5B",0.747673074063225
"ZN680_HUMAN.H11MO.0.C","ZN680_HUMAN.H11MO.0.C",1033,7500,23.2919954904171,23.0026069621224,1.0125806839534,0.317246105068135,"ZN680",0.795098050827013
"MAFB_HUMAN.H11MO.0.B","MAFB_HUMAN.H11MO.0.B",774,5610,17.4520856820744,17.2059500076675,1.01430526499828,0.326878566309844,"MAFB",0.812552843442959
"BACH2_HUMAN.H11MO.0.A","BACH2_HUMAN.H11MO.0.A",823,5969,18.5569334836528,18.3070081275878,1.01365189518261,0.328263243485684,"BACH2",0.812552843442959
"OTX2_HUMAN.H11MO.0.A","OTX2_HUMAN.H11MO.0.A",484,3502,10.913190529876,10.7406839441803,1.01606104290864,0.352957702113275,"OTX2",0.868319254892168
"ELF3_HUMAN.H11MO.0.A","ELF3_HUMAN.H11MO.0.A",1657,12139,37.3618940248027,37.2304861217605,1.00352957795427,0.42894992578041,"ELF3",1
"ZN264_HUMAN.H11MO.0.C","ZN264_HUMAN.H11MO.0.C",580,4235,13.0777903043968,12.9888053979451,1.00685089226649,0.432580369410806,"ZN264",1
"SIX2_HUMAN.H11MO.0.A","SIX2_HUMAN.H11MO.0.A",717,5254,16.1668545659526,16.1140929305321,1.00327425413568,0.466355362674522,"SIX2",1
"MAFF_HUMAN.H11MO.0.B","MAFF_HUMAN.H11MO.0.B",877,6433,19.7745208568207,19.7301027449778,1.00225128639304,0.475026351821718,"MAFF",1
"MAFG_HUMAN.H11MO.0.A","MAFG_HUMAN.H11MO.0.A",648,4760,14.6110484780158,14.5989878852937,1.00082612526409,0.497794997576354,"MAFG",1
"MYB_HUMAN.H11MO.0.A","MYB_HUMAN.H11MO.0.A",642,4716,14.4757609921082,14.4640392577825,1.00081040531741,0.498055824396594,"MYB",1
"NR4A2_HUMAN.H11MO.0.C","NR4A2_HUMAN.H11MO.0.C",777,5710,17.5197294250282,17.5126514338292,1.00040416445367,0.501818483233452,"NR4A2",1
"STA5A_HUMAN.H11MO.0.A","STA5A_HUMAN.H11MO.0.A",1075,7906,24.23900789177,24.2478147523386,0.999636797762663,0.512451141622804,"STA5A",1
"NKX28_HUMAN.H11MO.0.C","NKX28_HUMAN.H11MO.0.C",538,3974,12.130777903044,12.1883146756632,0.995279349594234,0.5581421700525,"NKX28",1
"GRHL2_HUMAN.H11MO.0.A","GRHL2_HUMAN.H11MO.0.A",444,3283,10.011273957159,10.0690078208864,0.994266181459543,0.563256477017514,"GRHL2",1
"CEBPD_HUMAN.H11MO.0.C","CEBPD_HUMAN.H11MO.0.C",426,3151,9.6054114994363,9.66416193835301,0.993920793205714,0.565366314414973,"CEBPD",1
"RUNX2_HUMAN.H11MO.0.A","RUNX2_HUMAN.H11MO.0.A",1174,8665,26.4712514092446,26.5756785769054,0.996070573800833,0.573640397218839,"RUNX2",1
"SMCA5_HUMAN.H11MO.0.C","SMCA5_HUMAN.H11MO.0.C",832,6149,18.7598647125141,18.8590706946787,0.994739614492636,0.579005026284003,"SMCA5",1
"NR2E3_HUMAN.H11MO.0.C","NR2E3_HUMAN.H11MO.0.C",1097,8112,24.7350620067644,24.8796196902316,0.994189714904527,0.601072612356423,"NR2E3",1
"ZFP28_HUMAN.H11MO.0.C","ZFP28_HUMAN.H11MO.0.C",2146,15852,48.3878241262683,48.6183100751418,0.995259276833825,0.635500770217182,"ZFP28",1
"STAT4_HUMAN.H11MO.0.A","STAT4_HUMAN.H11MO.0.A",1012,7508,22.8184892897407,23.0271430762153,0.990938789680335,0.645092265046113,"STAT4",1
"STAT6_HUMAN.H11MO.0.B","STAT6_HUMAN.H11MO.0.B",998,7412,22.5028184892897,22.7327097071001,0.989887205670928,0.659151849956464,"STAT6",1
"OLIG2_HUMAN.H11MO.0.B","OLIG2_HUMAN.H11MO.0.B",1480,10973,33.3709131905299,33.6543474927158,0.991578077624375,0.672113922077838,"OLIG2",1
"NR6A1_HUMAN.H11MO.0.B","NR6A1_HUMAN.H11MO.0.B",748,5578,16.8658399098083,17.1078055512958,0.985856418535857,0.684089978343371,"NR6A1",1
"HLF_HUMAN.H11MO.0.C","HLF_HUMAN.H11MO.0.C",224,1695,5.05073280721533,5.19858917343966,0.971558366839268,0.694170479989551,"HLF",1
"NKX31_HUMAN.H11MO.0.C","NKX31_HUMAN.H11MO.0.C",644,4819,14.5208568207441,14.779941726729,0.98247050558282,0.706452456562782,"NKX31",1
"ZN547_HUMAN.H11MO.0.C","ZN547_HUMAN.H11MO.0.C",639,4798,14.4081172491545,14.7155344272351,0.979109343286121,0.739640320503328,"ZN547",1
"RORG_HUMAN.H11MO.0.C","RORG_HUMAN.H11MO.0.C",670,5029,15.1071025930101,15.4240147216685,0.979453330771716,0.741781458791566,"RORG",1
"PKNX1_HUMAN.H11MO.0.B","PKNX1_HUMAN.H11MO.0.B",751,5637,16.9334836527621,17.2887593927312,0.979450478088183,0.755758852310138,"PKNX1",1
"ZN382_HUMAN.H11MO.0.C","ZN382_HUMAN.H11MO.0.C",515,3888,11.6121758737317,11.9245514491642,0.973803997847277,0.762159371955391,"ZN382",1
"HSF1_HUMAN.H11MO.0.A","HSF1_HUMAN.H11MO.0.A",821,6166,18.5118376550169,18.9112099371262,0.978881717064266,0.77335982524177,"HSF1",1
"NDF1_HUMAN.H11MO.0.A","NDF1_HUMAN.H11MO.0.A",918,6886,20.6989853438557,21.11946020549,0.980090643532406,0.775383717983151,"NDF1",1
"ZN586_HUMAN.H11MO.0.C","ZN586_HUMAN.H11MO.0.C",1511,11271,34.0698985343856,34.5683177426775,0.985581618058417,0.778552675065059,"ZN586",1
"NFE2_HUMAN.H11MO.0.A","NFE2_HUMAN.H11MO.0.A",683,5149,15.4002254791432,15.7920564330624,0.975188098169476,0.785415421025609,"NFE2",1
"REL_HUMAN.H11MO.0.B","REL_HUMAN.H11MO.0.B",1033,7745,23.2919954904171,23.7540254562184,0.980549403440995,0.786964053432621,"REL",1
"SPIB_HUMAN.H11MO.0.A","SPIB_HUMAN.H11MO.0.A",1796,13391,40.4960541149944,41.0703879773041,0.986015864699717,0.803073286429518,"SPIB",1
"RXRG_HUMAN.H11MO.0.B","RXRG_HUMAN.H11MO.0.B",647,4899,14.5885005636979,15.0253028676583,0.970928885240597,0.815330695296376,"RXRG",1
"MTF1_HUMAN.H11MO.0.C","MTF1_HUMAN.H11MO.0.C",505,3846,11.3866967305524,11.7957368501764,0.965323054861315,0.824596784501086,"MTF1",1
"HNF4A_HUMAN.H11MO.0.A","HNF4A_HUMAN.H11MO.0.A",910,6868,20.5186020293123,21.0642539487809,0.974095834545322,0.83607196283755,"HNF4A",1
"P53_HUMAN.H11MO.0.A","P53_HUMAN.H11MO.0.A",587,4476,13.2356257046223,13.7279558349946,0.964136675824868,0.852885971497659,"P53",1
"RFX5_HUMAN.H11MO.0.A","RFX5_HUMAN.H11MO.0.A",1040,7858,23.4498308906426,24.100598067781,0.972997882653859,0.866415109387469,"RFX5",1
"SMAD4_HUMAN.H11MO.0.B","SMAD4_HUMAN.H11MO.0.B",979,7407,22.0744081172492,22.7173746357921,0.971697146838003,0.868506853616703,"SMAD4",1
"ZN257_HUMAN.H11MO.0.C","ZN257_HUMAN.H11MO.0.C",932,7061,21.0146561443067,21.6561877012728,0.970376523984023,0.872084915286664,"ZN257",1
"AHR_HUMAN.H11MO.0.B","AHR_HUMAN.H11MO.0.B",145,1163,3.26944757609921,3.56693758625978,0.916597921055157,0.884400258660135,"AHR",1
"PRD14_HUMAN.H11MO.0.A","PRD14_HUMAN.H11MO.0.A",418,3237,9.4250281848929,9.92792516485202,0.949345208428894,0.891537454340996,"PRD14",1
"ZBT14_HUMAN.H11MO.0.C","ZBT14_HUMAN.H11MO.0.C",792,6040,17.8579481397971,18.5247661401626,0.964003972016695,0.894783362599186,"ZBT14",1
"ZN708_HUMAN.H11MO.0.C","ZN708_HUMAN.H11MO.0.C",875,6660,19.7294250281849,20.4263149823647,0.965882737303256,0.896203861824841,"ZN708",1
"STAT1_HUMAN.H11MO.0.A","STAT1_HUMAN.H11MO.0.A",978,7433,22.0518602029312,22.7971170065941,0.967309164424287,0.902124545121663,"STAT1",1
"ERR2_HUMAN.H11MO.0.A","ERR2_HUMAN.H11MO.0.A",684,5245,15.4227733934611,16.0864898021776,0.958740755946233,0.906416447198935,"ERR2",1
"ZNF18_HUMAN.H11MO.0.C","ZNF18_HUMAN.H11MO.0.C",725,5562,16.3472378804961,17.05873332311,0.958291425914372,0.916184187470948,"ZNF18",1
"NDF2_HUMAN.H11MO.0.B","NDF2_HUMAN.H11MO.0.B",1067,8113,24.0586245772266,24.8826867044932,0.966882108148001,0.917197077179771,"NDF2",1
"SMAD2_HUMAN.H11MO.0.A","SMAD2_HUMAN.H11MO.0.A",1194,9058,26.9222096956032,27.7810151817206,0.969086605349018,0.918279749812877,"SMAD2",1
"PEBB_HUMAN.H11MO.0.C","PEBB_HUMAN.H11MO.0.C",800,6128,18.0383314543405,18.7946633951848,0.959758154485593,0.920863593657473,"PEBB",1
"TFEB_HUMAN.H11MO.0.C","TFEB_HUMAN.H11MO.0.C",303,2399,6.83201803833145,7.35776721361754,0.928545011003739,0.930771358617343,"TFEB",1
"NR1I2_HUMAN.H11MO.0.C","NR1I2_HUMAN.H11MO.0.C",814,6250,18.3540022547914,19.168839135102,0.957491589627959,0.934175045941516,"NR1I2",1
"EHF_HUMAN.H11MO.0.B","EHF_HUMAN.H11MO.0.B",1279,9721,28.8387824126268,29.8144456371722,0.967275486640981,0.939217988469387,"EHF",1
"HIF1A_HUMAN.H11MO.0.C","HIF1A_HUMAN.H11MO.0.C",176,1434,3.9684329199549,4.3980984511578,0.902306522699649,0.939835621989444,"HIF1A",1
"ATF2_HUMAN.H11MO.0.B","ATF2_HUMAN.H11MO.0.B",610,4733,13.7542277339346,14.51617850023,0.94751023719615,0.942792952467341,"ATF2",1
"PBX1_HUMAN.H11MO.0.A","PBX1_HUMAN.H11MO.0.A",760,5860,17.1364148816234,17.9727035730716,0.953468954292376,0.943697893930559,"PBX1",1
"RELB_HUMAN.H11MO.0.C","RELB_HUMAN.H11MO.0.C",813,6270,18.3314543404735,19.2301794203343,0.953264862473906,0.951521708784932,"RELB",1
"ZN140_HUMAN.H11MO.0.C","ZN140_HUMAN.H11MO.0.C",759,5870,17.1138669673055,18.0033737156878,0.950592218856894,0.954088092880843,"ZN140",1
"NFKB1_HUMAN.H11MO.1.B","NFKB1_HUMAN.H11MO.1.B",955,7344,21.5332581736189,22.5241527373102,0.956007465619343,0.957645259057374,"NFKB1",1
"NFIA_HUMAN.H11MO.0.C","NFIA_HUMAN.H11MO.0.C",868,6695,19.5715896279594,20.5336604815212,0.953146646481877,0.958381800199696,"NFIA",1
"MAF_HUMAN.H11MO.0.A","MAF_HUMAN.H11MO.0.A",968,7443,21.826381059752,22.8277871492102,0.956132143562022,0.958525613919026,"MAF",1
"NFKB2_HUMAN.H11MO.0.B","NFKB2_HUMAN.H11MO.0.B",975,7504,21.9842164599774,23.0148750191688,0.955217720785667,0.96238220333889,"NFKB2",1
"E2F2_HUMAN.H11MO.0.B","E2F2_HUMAN.H11MO.0.B",304,2447,6.85456595264938,7.50498389817513,0.913335197736547,0.965177475934436,"E2F2",1
"SPI1_HUMAN.H11MO.0.A","SPI1_HUMAN.H11MO.0.A",1906,14427,42.9763246899662,44.2478147523386,0.971264342216918,0.96795595853156,"SPI1",1
"ATOH1_HUMAN.H11MO.0.B","ATOH1_HUMAN.H11MO.0.B",1162,8923,26.2006764374295,27.3669682564024,0.957383229006377,0.971127257119315,"ATOH1",1
"STAT3_HUMAN.H11MO.0.A","STAT3_HUMAN.H11MO.0.A",945,7323,21.3077790304397,22.4597454378163,0.948709730011588,0.977521887513835,"STAT3",1
"ETV4_HUMAN.H11MO.0.B","ETV4_HUMAN.H11MO.0.B",1802,13696,40.6313416009019,42.0058273270971,0.967278689323457,0.977974570975845,"ETV4",1
"HNF4G_HUMAN.H11MO.0.B","HNF4G_HUMAN.H11MO.0.B",955,7413,21.5332581736189,22.7357767213618,0.947108974437941,0.981401134885806,"HNF4G",1
"EPAS1_HUMAN.H11MO.0.B","EPAS1_HUMAN.H11MO.0.B",160,1366,3.60766629086809,4.18954148136789,0.861112440803471,0.984416977970594,"EPAS1",1
"P63_HUMAN.H11MO.0.A","P63_HUMAN.H11MO.0.A",590,4680,13.3032694475761,14.3536267443644,0.926822863970553,0.985545858161969,"P63",1
"ARNT_HUMAN.H11MO.0.B","ARNT_HUMAN.H11MO.0.B",193,1636,4.35174746335964,5.01763533200429,0.867290501484358,0.987980707887887,"ARNT",1
"PBX3_HUMAN.H11MO.0.A","PBX3_HUMAN.H11MO.0.A",796,6262,17.9481397970688,19.2056433062414,0.934524270334441,0.989868031483854,"PBX3",1
"CREB1_HUMAN.H11MO.0.A","CREB1_HUMAN.H11MO.0.A",292,2420,6.58399098083427,7.42217451311149,0.887070355083064,0.990649089332128,"CREB1",1
"CREM_HUMAN.H11MO.0.C","CREM_HUMAN.H11MO.0.C",423,3432,9.53776775648253,10.5259929458672,0.906115727564431,0.990788101807382,"CREM",1
"TFE3_HUMAN.H11MO.0.B","TFE3_HUMAN.H11MO.0.B",433,3529,9.76324689966178,10.823493329244,0.902042122877508,0.99374882827557,"TFE3",1
"ERR1_HUMAN.H11MO.0.A","ERR1_HUMAN.H11MO.0.A",763,6045,17.2040586245772,18.5401012114706,0.92793768644225,0.993807438334166,"ERR1",1
"ZN329_HUMAN.H11MO.0.C","ZN329_HUMAN.H11MO.0.C",853,6733,19.2333709131905,20.6502070234627,0.931388769678564,0.994514014820701,"ZN329",1
"TEAD1_HUMAN.H11MO.0.A","TEAD1_HUMAN.H11MO.0.A",652,5216,14.7012401352875,15.9975463885907,0.918968432919955,0.995010874025632,"TEAD1",1
"HINFP_HUMAN.H11MO.0.C","HINFP_HUMAN.H11MO.0.C",178,1551,4.01352874859076,4.75693911976691,0.843720856529991,0.995195003800142,"HINFP",1
"TEAD4_HUMAN.H11MO.0.A","TEAD4_HUMAN.H11MO.0.A",667,5333,15.0394588500564,16.3563870571998,0.919485384972976,0.995252135618736,"TEAD4",1
"HIC1_HUMAN.H11MO.0.C","HIC1_HUMAN.H11MO.0.C",559,4512,12.6042841037204,13.8383683484128,0.910821549649388,0.995451707628615,"HIC1",1
"E2F5_HUMAN.H11MO.0.B","E2F5_HUMAN.H11MO.0.B",212,1828,4.78015783540023,5.60650207023463,0.85260966205265,0.996047379321307,"E2F5",1
"TYY1_HUMAN.H11MO.0.A","TYY1_HUMAN.H11MO.0.A",688,5513,15.5129650507328,16.9084496242908,0.917468212369206,0.996650909467944,"TYY1",1
"ZBT18_HUMAN.H11MO.0.C","ZBT18_HUMAN.H11MO.0.C",970,7648,21.8714768883878,23.4565250728416,0.932426129636356,0.996688346814975,"ZBT18",1
"NKX21_HUMAN.H11MO.0.A","NKX21_HUMAN.H11MO.0.A",693,5552,15.6257046223224,17.0280631804938,0.917644270912866,0.996706400562893,"NKX21",1
"MITF_HUMAN.H11MO.0.A","MITF_HUMAN.H11MO.0.A",477,3909,10.7553551296505,11.9889587486582,0.897105024308659,0.997260112455248,"MITF",1
"INSM1_HUMAN.H11MO.0.C","INSM1_HUMAN.H11MO.0.C",1005,7926,22.6606538895152,24.3091550375709,0.93218599554333,0.997353288858092,"INSM1",1
"NKX25_HUMAN.H11MO.0.B","NKX25_HUMAN.H11MO.0.B",1362,10614,30.7102593010147,32.5532893727956,0.943384213783289,0.997786442635668,"NKX25",1
"NR1I3_HUMAN.H11MO.0.C","NR1I3_HUMAN.H11MO.0.C",705,5671,15.8962795941375,17.3930378776261,0.913944976488899,0.997983529338252,"NR1I3",1
"MYF6_HUMAN.H11MO.0.C","MYF6_HUMAN.H11MO.0.C",1483,11537,33.4385569334837,35.3841435362674,0.94501529757843,0.998367673186003,"MYF6",1
"BMAL1_HUMAN.H11MO.0.A","BMAL1_HUMAN.H11MO.0.A",451,3739,10.1691093573844,11.4675663241834,0.886771357575608,0.998575493472637,"BMAL1",1
"NR5A2_HUMAN.H11MO.0.B","NR5A2_HUMAN.H11MO.0.B",775,6226,17.4746335963923,19.0952307928232,0.915130787681291,0.998649832438747,"NR5A2",1
"LYL1_HUMAN.H11MO.0.A","LYL1_HUMAN.H11MO.0.A",1580,12282,35.6257046223224,37.6690691611716,0.945754843845321,0.998842951754326,"LYL1",1
"ZFP42_HUMAN.H11MO.0.A","ZFP42_HUMAN.H11MO.0.A",740,5975,16.6854565952649,18.3254102131575,0.910509309269646,0.998985891671887,"ZFP42",1
"CLOCK_HUMAN.H11MO.0.C","CLOCK_HUMAN.H11MO.0.C",662,5394,14.9267192784667,16.5434749271584,0.902272306404168,0.999243176089497,"CLOCK",1
"GLI3_HUMAN.H11MO.0.B","GLI3_HUMAN.H11MO.0.B",610,5000,13.7542277339346,15.3350713080816,0.896913190529876,0.999316744178026,"GLI3",1
"P73_HUMAN.H11MO.0.A","P73_HUMAN.H11MO.0.A",654,5341,14.7463359639233,16.3809231712927,0.900213975105262,0.999360120677921,"P73",1
"PTF1A_HUMAN.H11MO.0.B","PTF1A_HUMAN.H11MO.0.B",1625,12671,36.6403607666291,38.8621377089403,0.942829265879521,0.999501874320258,"PTF1A",1
"ZKSC1_HUMAN.H11MO.0.B","ZKSC1_HUMAN.H11MO.0.B",635,5211,14.3179255918828,15.9822113172826,0.895866367152825,0.999539219244729,"ZKSC1",1
"ZN549_HUMAN.H11MO.0.C","ZN549_HUMAN.H11MO.0.C",668,5470,15.0620067643743,16.7765680110413,0.897800238669879,0.999589716043425,"ZN549",1
"NR2C1_HUMAN.H11MO.0.C","NR2C1_HUMAN.H11MO.0.C",655,5375,14.7688838782413,16.4852016561877,0.89588736530243,0.999629195890184,"NR2C1",1
"USF1_HUMAN.H11MO.0.A","USF1_HUMAN.H11MO.0.A",454,3821,10.2367531003382,11.7190614936359,0.873513045895126,0.999633626198658,"USF1",1
"ZN528_HUMAN.H11MO.0.C","ZN528_HUMAN.H11MO.0.C",1001,8013,22.5704622322435,24.5759852783315,0.918395009462498,0.999639022686041,"ZN528",1
"PPARA_HUMAN.H11MO.0.B","PPARA_HUMAN.H11MO.0.B",1091,8700,24.5997745208568,26.683024076062,0.92192603247418,0.999681782217178,"PPARA",1
"ATF1_HUMAN.H11MO.0.B","ATF1_HUMAN.H11MO.0.B",295,2577,6.65163472378805,7.90369575218525,0.841585371242178,0.999690135348275,"ATF1",1
"VDR_HUMAN.H11MO.0.A","VDR_HUMAN.H11MO.0.A",928,7477,20.9244644870349,22.9320656341052,0.912454412999565,0.999739217120623,"VDR",1
"TFAP4_HUMAN.H11MO.0.A","TFAP4_HUMAN.H11MO.0.A",1043,8356,23.5174746335964,25.6279711700659,0.917648708028256,0.999773899601852,"TFAP4",1
"ZN134_HUMAN.H11MO.0.C","ZN134_HUMAN.H11MO.0.C",713,5851,16.0766629086809,17.9451004447171,0.895880352311643,0.999806487491372,"ZN134",1
"KAISO_HUMAN.H11MO.0.A","KAISO_HUMAN.H11MO.0.A",411,3520,9.26719278466742,10.7958902008894,0.858400058932049,0.999851154222223,"KAISO",1
"COE1_HUMAN.H11MO.0.A","COE1_HUMAN.H11MO.0.A",1182,9433,26.651634723788,28.9311455298267,0.92120910650812,0.999865132181458,"COE1",1
"ETV5_HUMAN.H11MO.0.C","ETV5_HUMAN.H11MO.0.C",2317,17859,52.2435174746336,54.7738076982058,0.953804741172758,0.999871207139695,"ETV5",1
"ELF5_HUMAN.H11MO.0.A","ELF5_HUMAN.H11MO.0.A",1697,13302,38.2638105975197,40.7974237080202,0.937897718036484,0.999900453627857,"ELF5",1
"MZF1_HUMAN.H11MO.0.B","MZF1_HUMAN.H11MO.0.B",1406,11145,31.7023675310034,34.1818739457138,0.927461366844653,0.999921763451499,"MZF1",1
"ATF6A_HUMAN.H11MO.0.B","ATF6A_HUMAN.H11MO.0.B",423,3646,9.53776775648253,11.1823339978531,0.852931754525817,0.999936681991027,"ATF6A",1
"TBX21_HUMAN.H11MO.0.A","TBX21_HUMAN.H11MO.0.A",1321,10520,29.7857948139797,32.2649900322036,0.923161444781187,0.999938022044925,"TBX21",1
"ZN816_HUMAN.H11MO.0.C","ZN816_HUMAN.H11MO.0.C",1433,11360,32.3111612175874,34.8412820119614,0.92738152420725,0.999938357478794,"ZN816",1
"ATF3_HUMAN.H11MO.0.A","ATF3_HUMAN.H11MO.0.A",352,3088,7.93686583990981,9.47094003987119,0.838023026911461,0.999943187822592,"ATF3",1
"RFX1_HUMAN.H11MO.0.B","RFX1_HUMAN.H11MO.0.B",1230,9841,27.7339346110485,30.1824873485662,0.918875051309049,0.999944167356567,"RFX1",1
"BHE40_HUMAN.H11MO.0.A","BHE40_HUMAN.H11MO.0.A",310,2754,6.98985343855693,8.44655727649134,0.827538748598943,0.99994493956478,"BHE40",1
"ZBT7A_HUMAN.H11MO.0.A","ZBT7A_HUMAN.H11MO.0.A",712,5907,16.054114994363,18.1168532433676,0.886142575573398,0.999953059434895,"ZBT7A",1
"RARG_HUMAN.H11MO.0.B","RARG_HUMAN.H11MO.0.B",889,7295,20.0450958286359,22.373869038491,0.89591548936624,0.999975958621835,"RARG",1
"MYOD1_HUMAN.H11MO.0.A","MYOD1_HUMAN.H11MO.0.A",1342,10727,30.2593010146561,32.8998619843582,0.919739451461605,0.999976186796743,"MYOD1",1
"TBX3_HUMAN.H11MO.0.C","TBX3_HUMAN.H11MO.0.C",1449,11540,32.6719278466742,35.3933445790523,0.92310936520001,0.999980598457533,"TBX3",1
"SRBP1_HUMAN.H11MO.0.A","SRBP1_HUMAN.H11MO.0.A",735,6122,16.5727170236753,18.7762613096151,0.882642010057062,0.999980649954669,"SRBP1",1
"NFIC_HUMAN.H11MO.0.A","NFIC_HUMAN.H11MO.0.A",1428,11386,32.1984216459977,34.9210243827634,0.922035427514277,0.999981841416039,"NFIC",1
"ZN335_HUMAN.H11MO.0.A","ZN335_HUMAN.H11MO.0.A",1302,10442,29.3573844419391,32.0257629197976,0.916680252566007,0.999982661963464,"ZN335",1
"MYOG_HUMAN.H11MO.0.B","MYOG_HUMAN.H11MO.0.B",1304,10469,29.402480270575,32.1085723048612,0.91572057428799,0.999986419135361,"MYOG",1
"BHA15_HUMAN.H11MO.0.B","BHA15_HUMAN.H11MO.0.B",1355,10854,30.5524239007892,33.2893727955835,0.917783104187609,0.999986807283005,"BHA15",1
"MYC_HUMAN.H11MO.0.A","MYC_HUMAN.H11MO.0.A",474,4105,10.6877113866967,12.590093543935,0.848898489070029,0.999987216440736,"MYC",1
"ETS2_HUMAN.H11MO.0.B","ETS2_HUMAN.H11MO.0.B",2212,17216,49.8759864712514,52.8017175279865,0.944590229376831,0.999987369880761,"ETS2",1
"RXRB_HUMAN.H11MO.0.C","RXRB_HUMAN.H11MO.0.C",829,6864,18.6922209695603,21.0519858917344,0.887907728310772,0.99998753004227,"RXRB",1
"SNAI2_HUMAN.H11MO.0.A","SNAI2_HUMAN.H11MO.0.A",1059,8628,23.8782412626832,26.4621990492256,0.90235287015506,0.999989417685422,"SNAI2",1
"ZSC31_HUMAN.H11MO.0.C","ZSC31_HUMAN.H11MO.0.C",1366,10962,30.8004509582864,33.6206103358381,0.916118138564976,0.999992179798727,"ZSC31",1
"KLF8_HUMAN.H11MO.0.C","KLF8_HUMAN.H11MO.0.C",903,7456,20.3607666290868,22.8676583346113,0.890373921595192,0.999992967845576,"KLF8",1
"ETV2_HUMAN.H11MO.0.B","ETV2_HUMAN.H11MO.0.B",1719,13606,38.7598647125141,41.7297960435516,0.928829478870735,0.999993017863113,"ETV2",1
"COT2_HUMAN.H11MO.0.A","COT2_HUMAN.H11MO.0.A",1053,8617,23.7429537767756,26.4284618923478,0.898385758258988,0.999995117343025,"COT2",1
"SMAD3_HUMAN.H11MO.0.B","SMAD3_HUMAN.H11MO.0.B",1825,14415,41.1499436302142,44.2110105811992,0.930762339273766,0.999995544115993,"SMAD3",1
"REST_HUMAN.H11MO.0.A","REST_HUMAN.H11MO.0.A",986,8111,22.2322435174746,24.8765526759699,0.893702749213735,0.999995620071208,"REST",1
"MYCN_HUMAN.H11MO.0.A","MYCN_HUMAN.H11MO.0.A",532,4604,11.9954904171364,14.1205336604815,0.849506874567187,0.999996183255182,"MYCN",1
"PPARG_HUMAN.H11MO.0.A","PPARG_HUMAN.H11MO.0.A",1344,10835,30.304396843292,33.2310995246128,0.911928803946041,0.999996554190201,"PPARG",1
"ZN449_HUMAN.H11MO.0.C","ZN449_HUMAN.H11MO.0.C",1014,8337,22.8635851183766,25.5696978990952,0.89416719777458,0.999996712537075,"ZN449",1
"ESR1_HUMAN.H11MO.0.A","ESR1_HUMAN.H11MO.0.A",775,6513,17.4746335963923,19.9754638859071,0.874804895455815,0.99999747028199,"ESR1",1
"TFE2_HUMAN.H11MO.0.A","TFE2_HUMAN.H11MO.0.A",1380,11135,31.1161217587373,34.1512038030977,0.911128109513813,0.999998179619393,"TFE2",1
"ZIC1_HUMAN.H11MO.0.B","ZIC1_HUMAN.H11MO.0.B",879,7336,19.8196166854566,22.4996166232173,0.88088686209012,0.999998520302764,"ZIC1",1
