GENE name,Symbol
NUMA1,Cell division
ORC4,Cell division
OSM,Cell division
PAFAH1B1,Cell division
SYCP3,Cell division
CUZD1,Cell division
PAX6,Cell division
TAS2R13,Cell division
PARD6A,Cell division
SH3GLB1,Cell division
DYNC1LI1,Cell division
LEF1,Cell division
CHMP1A,Cell division
NUSAP1,Cell division
RXFP3,Cell division
FZR1,Cell division
SNX9,Cell division
ANAPC5,Cell division
ANAPC7,Cell division
YTHDF2,Cell division
SPOUT1,Cell division
CHMP5,Cell division
ANAPC11,Cell division
ZC3HC1,Cell division
PDGFA,Cell division
PDGFB,Cell division
CINP,Cell division
MBIP,Cell division
CHMP3,Cell division
CDK14,Cell division
PGF,Cell division
PIK3C3,Cell division
PIK3CB,Cell division
PIN1,Cell division
PLEC,Cell division
PLK1,Cell division
PELO,Cell division
MIS18A,Cell division
SEPTIN5,Cell division
SEPTIN4,Cell division
ANLN,Cell division
PIMREG,Cell division
EXOC6,Cell division
POU3F2,Cell division
POU3F3,Cell division
POU5F1,Cell division
INO80,Cell division
MAP10,Cell division
PPBP,Cell division
ALKBH4,Cell division
HAUS6,Cell division
NDE1,Cell division
ERCC6L,Cell division
NSUN2,Cell division
NCAPG2,Cell division
TTC19,Cell division
SPDL1,Cell division
HAUS4,Cell division
TIPIN,Cell division
PPP1CA,Cell division
PPP1CB,Cell division
PPP1CC,Cell division
NRDE2,Cell division
ZWILCH,Cell division
FIGN,Cell division
HAUS2,Cell division
CDCA8,Cell division
CEP55,Cell division
ARL8B,Cell division
MIS18BP1,Cell division
TRIM36,Cell division
HAUS7,Cell division
PRPF40A,Cell division
YEATS2,Cell division
INTS13,Cell division
CHFR,Cell division
SEPTIN11,Cell division
EXOC1,Cell division
EXOC2,Cell division
PRKCE,Cell division
CENPJ,Cell division
PPP2R2D,Cell division
PKN2,Cell division
BIN3,Cell division
RCC2,Cell division
KLHL9,Cell division
SEPTIN3,Cell division
PDGFC,Cell division
TEX14,Cell division
