"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group1prop","group2prop"
"C1QTNF12",1.64384570811301,-1.24359833847212,0.874490598636085,-1.42208314235936,0.15500211597196,0.22903757843499,0,0.00161110422605032
"UBE2J2",17.0632251835027,1.58836676640366,0.582811515548239,2.7253524064457,0.00642328874963266,0.0330148978310144,0.109704641350211,0.336472921055893
"LINC01786",1.56557258488316,-1.41548797004369,0.848808776536596,-1.66761702891354,0.0953917756050864,0.164426236771168,0,0.00272648407485438
"SCNN1D",2.0213815994624,-0.266539800743406,0.695340491499498,-0.383322708805026,0.701480503625056,0.752900832261163,0.00210970464135021,0.0164828355434378
"ACAP3",16.9655396106533,1.44538807147556,0.526497453156432,2.74528976884928,0.00604574893513555,0.0318988440062401,0.0949367088607595,0.280951790804313
"PUSL1",4.71331426035631,1.51481077932085,0.577048323004873,2.62510212564652,0.0086622981438149,0.0393588579302318,0.0126582278481013,0.111166191597472
"INTS11",13.9373666879312,1.57172020848471,0.561622669644542,2.79853412875849,0.00513351440736706,0.0293252320394702,0.0864978902953586,0.278968893295328
"CPTP",4.37841841403268,1.30587975330956,0.544959991468543,2.39628555078055,0.0165621819164488,0.0580079339871727,0.0168776371308017,0.0741107943983145
"TAS1R3",1.65697398458058,-0.863850064800769,0.835171392653975,-1.03433866676834,0.300977866365276,0.380760310783534,0,0.0143760069401413
"DVL1",9.10365841217126,2.24131914820555,0.541342973377179,4.14029415441201,3.46860745492838e-05,0.00314523491739805,0.0316455696202532,0.197298302144008
"MXRA8",1.97892363184561,-1.20304279225357,0.767360029647576,-1.56776838221048,0.11693519625416,0.187034109716855,0.00843881856540084,0.00929483207336721
